class,qtd_refactorings
org.traccar.database.OpenIdProvider,35
org.traccar.protocol.TotemProtocolDecoder,30
src.test.java.org.traccar.geocoder.GeocoderTest,26
org.traccar.api.security.OpenIDProvider,21
org.traccar.config.Keys,17
org.traccar.notificators.NotificatorTraccar,7
org.traccar.protocol.TramigoProtocolDecoder,6
org.traccar.MainModule,6
org.traccar.api.resource.SessionResource,6
org.traccar.protocol.WialonProtocolDecoder,5
org.traccar.api.security.SecurityRequestFilter,4
org.traccar.notificators.NotificatorFirebase,4
src.test.java.org.traccar.handler.FilterHandlerTest,4
org.traccar.mail.SmtpMailManager,4
org.traccar.handler.ComputedAttributesHandler,3
org.traccar.BasePipelineFactory,3
org.traccar.reports.common.ReportUtils,3
org.traccar.helper.model.DeviceUtil,3
org.traccar.api.security.LoginService,3
org.traccar.protocol.TramigoFrameDecoder,2
org.traccar.notificators.NotificatorSms,2
org.traccar.notificators.Notificator,2
org.traccar.api.resource.NotificationResource,2
src.test.java.org.traccar.geolocation.GeolocationProviderTest,2
src.test.java.org.traccar.helper.PatternUtilTest,2
src.test.java.org.traccar.notification.NotificiationMailTest,2
src.test.java.org.traccar.protocol.BceProtocolDecoderTest,2
src.test.java.org.traccar.protocol.CellocatorProtocolEncoderTest,2
src.test.java.org.traccar.protocol.H02ProtocolEncoderTest,2
src.test.java.org.traccar.protocol.HuabaoProtocolEncoderTest,2
src.test.java.org.traccar.protocol.NavtelecomFrameDecoderTest,2
src.test.java.org.traccar.protocol.SuntechProtocolDecoderTest,2
src.test.java.org.traccar.protocol.TeltonikaProtocolDecoderTest,2
src.test.java.org.traccar.reports.ReportUtilsTest,2
src.test.java.org.traccar.speedlimit.OverpassSpeedLimitProviderTest,2
org.traccar.mail.LogMailManager,2
org.traccar.api.resource.CommandResource,2
org.traccar.helper.model.UserUtil,2
org.traccar.api.resource.UserResource,2
org.traccar.protocol.Jt600ProtocolDecoder,1
org.traccar.helper.Parser,1
org.traccar.database.NotificationManager,1
org.traccar.notificators.NotificatorMail,1
org.traccar.notificators.NotificatorPushover,1
org.traccar.notificators.NotificatorTelegram,1
org.traccar.notificators.NotificatorWeb,1
org.traccar.sms.SmsManager,1
org.traccar.protocol.Minifinder2ProtocolDecoder,1
org.traccar.mail.MailManager,1
org.traccar.ExtendedObjectDecoder,1
org.traccar.handler.FilterHandler,1
org.traccar.handler.AcknowledgementHandler,1
org.traccar.protocol.TzoneProtocolDecoder,1
org.traccar.protocol.HuabaoProtocolDecoder,1
org.traccar.protocol.FifotrackProtocolDecoder,1
org.traccar.protocol.HuaShengProtocolEncoder,1
org.traccar.protocol.MeitrackProtocolDecoder,1
org.traccar.helper.WebHelper,1
org.traccar.helper.ServletHelper,1
src.test.java.org.traccar.helper.WebHelperTest,1
src.test.java.org.traccar.helper.ServletHelperTest,1
org.traccar.protocol.TeltonikaProtocolDecoder,1
